pert_iname,InChIKey,clinical_phase,moa,target,disease_area,indication
perzinfotel,BDABGOLMYNHHTR-UHFFFAOYSA-N,Phase 2,glutamate receptor antagonist,GRIN1|GRIN2A|GRIN2B,,
PETCM,NGTDJJKTGRNNAU-ZETCQYMHSA-N,Preclinical,caspase activator,CASP3,,
pevonedistat,MPUQHZXIXSTTDU-QXGSTGNESA-N,Phase 3,nedd activating enzyme inhibitor,NAE1|UBA3,,
pevonedistat,"InChI=1S/C21H25N5O4S/c22-31(28,29)30-11-14-9-15(10-19(14)27)26-8-7-17-20(23-12-24-21(17)26)25-18-6-5-13-3-1-2-4-16(13)18/h1-4,7-8,12,14-15,18-19,27H,5-6,9-11H2,(H2,22,28,29)(H,23,24,25)/t14-,15+,18-,19-/m0/s1",Phase 3,nedd activating enzyme inhibitor,NAE1|UBA3,,
pexidartinib,JGWRKYUXBBNENE-UHFFFAOYSA-N,Launched,tyrosine kinase inhibitor,CSF1R|FLT3|KIT,,
pexmetinib,LNMRSSIMGCDUTP-UHFFFAOYSA-N,Phase 1,MAP kinase inhibitor|TIE tyrosine kinase inhibitor,MAPK14|TEK,,
PF-02413873,QSFGZNVRVZHUGV-UHFFFAOYSA-N,Phase 1,progesterone receptor antagonist,,,
PF-02545920,AZEXWHKOMMASPA-UHFFFAOYSA-N,Phase 2,phosphodiesterase inhibitor,PDE10A,,
PF-03049423,MNLNAGRCHNMKKJ-UHFFFAOYSA-N,Phase 2,phosphodiesterase inhibitor,PDE5A,,
PF-03084014,VFCRKLWBYMDAED-REWPJTCUSA-N,Phase 3,gamma secretase inhibitor,,,
PF-03758309,AYCPARAPKDAOEN-LJQANCHMSA-N,Phase 1,p21 activated kinase inhibitor,PAK4,,
PF-03758309,"InChI=1S/C25H30N8OS/c1-15-26-18-11-12-35-20(18)23(27-15)29-22-17-13-33(25(2,3)21(17)30-31-22)24(34)28-19(14-32(4)5)16-9-7-6-8-10-16/h6-12,19H,13-14H2,1-5H3,(H,28,34)(H2,26,27,29,30,31)/t19-/m1/s1",Phase 1,p21 activated kinase inhibitor,PAK4,,
PF-03814735,RYYNGWLOYLRZLK-RBUKOAKNSA-N,Phase 1,Aurora kinase inhibitor,AURKA|AURKB,,
PF-03882845,XNULRSOGWPFPBL-AKRCKQFNSA-N,Phase 1,mineralocorticoid receptor antagonist,,,
PF-04136309,ZNSVOHSYDRPBGI-LXWOLXCRSA-N,Phase 2,CC chemokine receptor antagonist,,,
PF-04217903,PDMUGYOXRHVNMO-UHFFFAOYSA-N,Phase 1,c-Met inhibitor,MET,,
PF-04217903,"InChI=1S/C19H16N8O/c28-7-6-26-12-15(9-22-26)17-10-21-18-19(23-17)27(25-24-18)11-13-3-4-16-14(8-13)2-1-5-20-16/h1-5,8-10,12,28H,6-7,11H2",Phase 1,c-Met inhibitor,MET,,
PF-04418948,LWJGMYMNSNVCEM-UHFFFAOYSA-N,Phase 1,prostaglandin inhibitor,PTGER2,,
PF-04447943,IWXUVYOOUMLUTQ-CZUORRHYSA-N,Phase 2,phosphodiesterase inhibitor,PDE9A,,
PF-04457845,BATCTBJIJJEPHM-UHFFFAOYSA-N,Phase 2,FAAH inhibitor,FAAH,,
PF-04620110,GEVVQZHMFVFGLN-HDJSIYSDSA-N,Phase 1,diacylglycerol O acyltransferase inhibitor,DGAT1,,
PF-04691502,XDLYKKIQACFMJG-WKILWMFISA-N,Phase 2,mTOR inhibitor|PI3K inhibitor,MTOR|PIK3CA,,
PF-04885614,AGORGFNWYAUYSU-UHFFFAOYSA-N,Preclinical,voltage-gated sodium channel blocker,SCN10A,,
PF-04937319,MASKQITXHVYVFL-UHFFFAOYSA-N,Phase 2,glucokinase activator,GCK,,
PF-04995274,WLLOFQROROXOMO-GOSISDBHSA-N,Phase 1,serotonin receptor agonist,,,
PF-05089771,ZYSCOUXLBXGGIM-UHFFFAOYSA-N,Preclinical,sodium channel blocker,,,
PF-05175157,BDXXSFOJPYSYOC-UHFFFAOYSA-N,Phase 2,acetyl-CoA carboxylase inhibitor,,,
PF-05180999,CLGCHUKGBICQTE-UHFFFAOYSA-N,Phase 1,phosphodiesterase inhibitor,,,
PF-05190457,ZIUDADZJCKGWKR-AREMUKBSSA-N,Phase 2,growth hormone secretagogue receptor inverse agonist,GHSR,,
PF-05212384,DWZAEMINVBZMHQ-UHFFFAOYSA-N,Phase 2,mTOR inhibitor|PI3K inhibitor,MTOR|PIK3CA,,
PF-06260414,ZKAVFOXYJCREBQ-SNVBAGLBSA-N,Phase 1,androgen receptor modulator,,,
PF-06273340,BPIWZDNVMQQBQX-UHFFFAOYSA-N,Phase 1,tyrosine kinase receptor inhibitor,,,
PF-06282999,ICYNYWFGIDGBRD-UHFFFAOYSA-N,Phase 1,myeloperoxidase inhibitor,,,
PF-06305591,APWZIFIAVVFPNT-PELKAZGASA-N,Phase 1,sodium channel blocker,,,
PF-06409577,FHQXLWCFSUSXBF-UHFFFAOYSA-N,Phase 1,protein kinase activator,,,
PF-06412562,IDIUJOHYYBNCPC-UHFFFAOYSA-N,Phase 1,dopamine receptor partial agonist,,,
PF-06447475,BHTWDJBVZQBRKP-UHFFFAOYSA-N,Preclinical,serine/threonine kinase inhibitor,LRRK2,,
PF-06459988,ODMXWZROLKITMS-RISCZKNCSA-N,Phase 2,receptor tyrosine protein kinase inhibitor,,,
PF-06463922,IIXWYSCJSQVBQM-UHFFFAOYSA-N,Launched,ALK tyrosine kinase receptor inhibitor,ALK|FES|ROS1,oncology,non-small cell lung cancer (NSCLC)
PF-06650833,JKDGKIBAOAFRPJ-ZBINZKHDSA-N,Phase 1,kinase inhibitor,,,
PF-06651600,CBRJPFGIXUFMTM-WDEREUQCSA-N,Phase 2/Phase 3,JAK inhibitor,,,
PF-06747775,JYIUNVOCEFIUIU-GHMZBOCLSA-N,Phase 2,EGFR inhibitor,,,
PF-06751979,ZLZUHACSRMOLLV-RAALSFIWSA-N,Phase 1,beta secretase inhibitor,,,
PF-06840003,MXKLDYKORJEOPR-MRVPVSSYSA-N,Phase 1,"indoleamine 2,3-dioxygenase inhibitor",,,
PF-06873600,QIEKHLDZKRQLLN-FOIQADDNSA-N,Phase 2,CDK inhibitor,,,
PF-06928215,PHGTYMRDHDEHLI-HIFRSBDPSA-N,Preclinical,cyclic GMP-AMP synthase inhibitor,,,
PF-3274167,HNIFCPBQMKPRCX-UHFFFAOYSA-N,Phase 2,oxytocin receptor antagonist,AVPR1A|OXTR,,
PF-3845,NBOJHRYUGLRASX-UHFFFAOYSA-N,Preclinical,FAAH inhibitor,FAAH,,
PF-4191834,DVNQWYLVSNPCJZ-UHFFFAOYSA-N,Preclinical,lipoxygenase inhibitor,,,
PF-429242,XKPJTOHUPQWSOJ-HSZRJFAPSA-N,Preclinical,SREBP inhibitor,MBTPS1,,
PF-431396,POJZIZBONPAWIV-UHFFFAOYSA-N,Preclinical,focal adhesion kinase inhibitor,PTK2|PTK2B,,
PF-4708671,FBLPQCAQRNSVHB-UHFFFAOYSA-N,Preclinical,ribosomal protein inhibitor,RPS6KB1,,
PF-477736,NDEXUOWTGYUVGA-LJQANCHMSA-N,Phase 1,CHK inhibitor,CHEK1|CHEK2,,
PF-4800567,AUMDBEHGJRZSOO-UHFFFAOYSA-N,Preclinical,casein kinase inhibitor,CSNK1D|CSNK1E,,
PF-4981517,WDWIMDKOXZZYHH-FQEVSTJZSA-N,Preclinical,cytochrome P450 inhibitor,CYP3A4,,
PF-514273,FJMQJSUOOGOWBD-UHFFFAOYSA-N,Preclinical,cannabinoid receptor antagonist,,,
PF-5274857,BBVNTTZIOTWDSV-UHFFFAOYSA-N,Preclinical,smoothened receptor antagonist,SMO,,
PF-562271,MZDKLVOWGIOKTN-UHFFFAOYSA-N,Phase 1,focal adhesion kinase inhibitor,PTK2|PTK2B,,
PF-573228,HESLKTSGTIBHJU-UHFFFAOYSA-N,Preclinical,focal adhesion kinase inhibitor,CDK1|CDK2|CDK7|GSK3B|IKBKB,,
PF-670462,WUDBUIUHVNECTM-UHFFFAOYSA-N,Preclinical,casein kinase inhibitor,CSNK1D|CSNK1E,,
PF-750,BIODYGOZWZNCAG-UHFFFAOYSA-N,Preclinical,FAAH inhibitor,FAAH,,
PF-8380,JMSUDQYHPSNBSN-UHFFFAOYSA-N,Preclinical,autotaxin inhibitor,ENPP2,,
PF-915275,ZESFDAKNYJQYKO-UHFFFAOYSA-N,Phase 1,11-beta hydroxysteroid dehydrogenase inhibitor,HSD11B1,,
PFI-1,TXZPMHLMPKIUGK-UHFFFAOYSA-N,Preclinical,bromodomain inhibitor,BRD4,,
PFI-3,INAICWLVUAKEPB-QSTFCLMHSA-N,Preclinical,bromodomain inhibitor,PBRM1|SMARCA4,,
PFI-4,QCIJLRJBZDBVDB-UHFFFAOYSA-N,Preclinical,bromodomain inhibitor,BRPF1,,
PFK-015,UJJUKZPBUMCSJZ-BQYQJAHWSA-N,Phase 1,phosphofructokinase inhibitor,PFKFB3,,
PFK-158,IAJOMYABKVAZCN-AATRIKPKSA-N,Phase 1,phosphofructokinase inhibitor,PFKFB3,,
PG-9,GHDWIFTUSXQYGK-FWYOQMDTSA-N,Preclinical,acetylcholine receptor agonist,,,
PGL5001,XCPPIJCBCWUBNT-HXUWFJFHSA-N,Phase 2,JNK inhibitor,MAPK10|MAPK8|MAPK9,,
PH-797804,KCAJXIDMCNPGHZ-UHFFFAOYSA-N,Phase 2,p38 MAPK inhibitor,MAPK11|MAPK14,,
PHA-543613,IPKZCLGGYKRDES-ZDUSSCGKSA-N,Preclinical,nicotinic receptor agonist,,,
PHA-568487,LUVXHMJTVXZFPD-ZDUSSCGKSA-N,Preclinical,nicotinic receptor agonist,CHRNA7,,
PHA-665752,OYONTEXKYJZFHA-SSHUPFPWSA-N,Preclinical,c-Met inhibitor,MET,,
PHA-680632,OBWNXGOQPLDDPS-UHFFFAOYSA-N,Preclinical,Aurora kinase inhibitor,AURKA|AURKB|AURKC,,
PHA-767491,DKXHSOUZPMHNIZ-UHFFFAOYSA-N,Preclinical,CDC inhibitor,CDK1|RPS6KB1,,
PHA-793887,HUXYBQXJVXOMKX-UHFFFAOYSA-N,Phase 1,CDK inhibitor,CDK1|CDK2|CDK4|CDK5|CDK7|CDK9,,
PHA-848125,RXZMYLDMFYNEIM-UHFFFAOYSA-N,Phase 2,CDK inhibitor|growth factor receptor inhibitor,CDK2|CDK4|CDK7|NTRK1,,
PHCCC,FPXPIEZPAXSELW-RGNAGUPPSA-N,Preclinical,glutamate receptor agonist,GRM1|GRM4,,
phenacaine,QXDAEKSDNVPFJG-UHFFFAOYSA-N,Launched,local anesthetic,,neurology/psychiatry,local anesthetic
phenacemide,XPFRXWCVYUEORT-UHFFFAOYSA-N,Launched,sodium channel blocker,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,epilepsy|seizures
phenacetin,CPJSUEIXXCENMM-UHFFFAOYSA-N,Withdrawn,cyclooxygenase inhibitor,PTGS1,,
phenazone,VEQOALNAAJBPNY-UHFFFAOYSA-N,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,neurology/psychiatry,pain relief
phenazopyridine,QPFYXYFORQJZEC-FOCLMDBBSA-N,Launched,local anesthetic,SCN1A,infectious disease,urinary tract infections
phenelzine,RMUCZJUITONUFY-UHFFFAOYSA-N,Launched,monoamine oxidase inhibitor,ABAT|AOC3|GAD2|GPT|GPT2|MAOA|MAOB|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,depression
phenethicillin,NONJJLVGHLVQQM-ADGXKJENSA-N,Launched,bacterial cell wall synthesis inhibitor,,,
phenethyl-isothiocyanate,IZJDOKYDEWTZSO-UHFFFAOYSA-N,Phase 2,anticancer agent,CYP2E1,,
phenformin,ICFJFFQQTFMIBG-UHFFFAOYSA-N,Withdrawn,AMPK activator,KCNJ8|PRKAA1,,
phenindamine,ISFHAYSTHMVOJR-LJQANCHMSA-N,Launched,histamine receptor antagonist,HRH1,allergy|otolaryngology,allergic rhinitis|common cold
phenindione,NFBAXHOPROOJAW-UHFFFAOYSA-N,Launched,vitamin K antagonist,VKORC1,hematology,deep vein thrombosis (DVT)
pheniramine,IJHNSHDBIRRJRN-HNNXBMFYSA-N,Launched,histamine receptor antagonist,HRH1,allergy,allergic rhinitis|urticaria
phenol,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,Preclinical,,CA1|CA12|CA14|CA2|CA4|CA9,otolaryngology,pharyngitis
phenolphthalein,KJFMBFZCATUALV-UHFFFAOYSA-N,Withdrawn,indicator dye,UGT1A9,,
phenolsulfonphthalein,BELBBZDIHDAJOR-UHFFFAOYSA-N,Launched,,,,
phenothiazine,WJFKNYWRSNBZNX-UHFFFAOYSA-N,Preclinical,dopamine receptor antagonist,,,
phenothrin,SBNFWQZLDJGRLK-SFTDATJTSA-N,Launched,,,infectious disease,lice
phenoxybenzamine,QZVCTJOXCFMACW-UHFFFAOYSA-N,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C,cardiology|endocrinology,hypertension|pheochromocytoma
phenprobamate,CAMYKONBWHRPDD-UHFFFAOYSA-N,Launched,muscle relaxant,,neurology/psychiatry,anxiety|muscle relaxant
phenprocoumon,DQDAYGNAKTZFIW-ZDUSSCGKSA-N,Launched,vitamin K antagonist,VKORC1,hematology,thrombosis|pulmonary embolism (PE)
phenserine,PBHFNBQPZCRWQP-QUCCMNQESA-N,Phase 3,acetylcholinesterase inhibitor|beta amyloid synthesis inhibitor,ACHE|BCHE,,
phensuximide,WLWFNJKHKGIJNW-SECBINFHSA-N,Launched,succinimide antiepileptic,,neurology/psychiatry,seizures
phentolamine,MRBDMNSDAVCSSF-UHFFFAOYSA-N,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C,endocrinology|cardiology,pheochromocytoma|hypertension
phenyl-aminosalicylate,DNVVZWSVACQWJE-UHFFFAOYSA-N,Launched,,,infectious disease,tuberculosis
phenyl-salicylate,ZQBAKBUEJOMQEX-UHFFFAOYSA-N,Launched,antiseptic,,urology,interstitial cystitis (IC)
phenylacetylglutamine,JFLIEFSWGNOPJJ-JTQLQIEISA-N,Phase 2,DNA methylase inhibitor|protein synthesis inhibitor,,,
phenylbenzimidazole-sulfonic-acid,UVCJGUGAGLDPAA-UHFFFAOYSA-N,Launched,,,dermatology,sunscreen lotion
phenylbutazone,VYMDGNCVAMGZFE-UHFFFAOYSA-N,Withdrawn,cyclooxygenase inhibitor|prostanoid receptor antagonist,PTGIS|PTGS1|PTGS2,,
phenylbutyrate,OBKXEAXTFZPCHS-UHFFFAOYSA-N,Launched,HDAC inhibitor,HDAC1,metabolism,urea cycle disorders
phenylephrine,SONNWYBIRXJNDC-VIFPVBQESA-N,Launched,adrenergic receptor agonist,ADRA1A|ADRA1B|ADRA1D,otolaryngology|gastroenterology|cardiology,nasal congestion|hemorrhoids|hypotension
phenylethyl-alcohol,WRMNZCZEMHIOCP-UHFFFAOYSA-N,Preclinical,,,,
phenylmercuric-acetate,XEBWQGVWTUSTLN-UHFFFAOYSA-M,Preclinical,other antifungal,,,
phenylmethylsulfonyl-fluoride,YBYRMVIVWMBXKQ-UHFFFAOYSA-N,Preclinical,serine protease inhibitor,,,
phenylpiracetam,LYONXVJRBWWGQO-SNVBAGLBSA-N,Launched,noradrenaline uptake inhibitor,,neurology/psychiatry,anxiety|fatigue|depression
phenytoin,CXOFVDLJLONNDW-UHFFFAOYSA-N,Launched,hydantoin antiepileptic,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,seizures
PhiKan-083,LBPNOEAFWYTTEB-UHFFFAOYSA-N,Preclinical,p53 stabilizing agent,TP53,,
phloretin,VGEREEWJJVICBM-UHFFFAOYSA-N,Launched,sodium/glucose cotransporter inhibitor,AQP9|CLCN3|SLC23A1,,
phlorizin,IOUVKUPGCMBWBT-QNDFHXLGSA-N,Preclinical,sodium/glucose cotransporter inhibitor,SLC5A1|SLC5A11|SLC5A2|SLC5A3,,
phloroglucin,QCDYQQDYXPDABM-UHFFFAOYSA-N,Launched,,,neurology/psychiatry,spasms
phortress,LFDOEFHQLNGBQQ-HNNXBMFYSA-N,Phase 1,aryl hydrocarbon receptor ligand,AHR,,
phosphatidylcholine,JLPULHDHAOZNQI-ZTIMHPMXSA-O,Launched,,,infectious disease|dermatology|gastroenterology|cardiology|obstetrics/gynecology,hepatitis B|hepatitis C|eczema|gallbladder disease|cholesterol|premenstrual syndrome
PHP-501,UHEYIOPHTBWBQN-UHFFFAOYSA-N,Preclinical,GABA receptor antagonist,GABRA1|GABRB2|GABRG2,,
PHT-427,BYWWNRBKPCPJMG-UHFFFAOYSA-N,Preclinical,AKT inhibitor|pyruvate dehydrogenase inhibitor,AKT2|PDPK1,,
phthalylsulfacetamide,SNWQKAWITMVCQW-UHFFFAOYSA-N,Preclinical,,,,
phthalylsulfathiazole,PBMSWVPMRUJMPE-UHFFFAOYSA-N,Launched,dihydropteroate synthetase inhibitor,,infectious disease|gastroenterology,dysentry|colitis
PHTPP,AEZPAUSGTAHLOQ-UHFFFAOYSA-N,Preclinical,estrogen receptor antagonist,ESR2,,
physostigmine,PIJVFDBKTWXHHD-HIFRSBDPSA-N,Launched,acetylcholinesterase inhibitor|cholinesterase inhibitor,ACHE|BCHE,cardiology|neurology/psychiatry|ophthalmology|gastroenterology,hypotension|Alzheimer's disease|glaucoma|gastroparesis
phytonadione,MBWXNTAXLNYFJB-NKFFZRIASA-N,Launched,,BGLAP|GGCX,hematology,vitamin K deficiency|anticoagulation reversal
phytosphingosine,AERBNCYCJBRYDG-KSZLIROESA-N,Phase 1,,,,
phytosphingosine,"InChI=1S/C18H39NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17(21)18(22)16(19)15-20/h16-18,20-22H,2-15,19H2,1H3/t16-,17+,18-/m0/s1",Phase 1,,,,
PI-103,TUVCWJQQGGETHL-UHFFFAOYSA-N,Preclinical,mTOR inhibitor|PI3K inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC,,
PI-103,"InChI=1S/C19H16N4O3/c24-13-4-1-3-12(11-13)17-21-15-14-5-2-6-20-19(14)26-16(15)18(22-17)23-7-9-25-10-8-23/h1-6,11,24H,7-10H2",Preclinical,mTOR inhibitor|PI3K inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC,,
PI-828,WUKMIBOGGXMBAC-UHFFFAOYSA-N,Preclinical,PI3K inhibitor,,,
PI3K-IN-2,ADGGYDAFIHSYFI-UHFFFAOYSA-N,Phase 2,PI3K inhibitor,,,
PI3Kd-IN-2,NVWKNQGHVMMAJW-UHFFFAOYSA-N,Preclinical,PI3K inhibitor,,,
PI4KIII-beta-inhibitor-1,PLUYFBRIGUAKBR-UHFFFAOYSA-N,Preclinical,PI4K inhibitor,PI4K2B,,
pibenzimol,INAAIJLSXJJHOZ-UHFFFAOYSA-N,Phase 2,DNA inhibitor,,,
piboserod,KVCSJPATKXABRQ-UHFFFAOYSA-N,Phase 2,serotonin receptor antagonist,HTR2B|HTR4,,
picartamide,ITNLONMDUMHEOK-NSHDSACASA-N,Phase 2,H+/K+-ATPase inhibitor,ATP4A,,
piceatannol,CDRPUGZCRXZLFL-OWOJBTEDSA-N,Preclinical,SYK inhibitor,ATP5A1|ATP5B|ATP5C1|IRF3,,
piclamilast,RRRUXBQSQLKHEL-UHFFFAOYSA-N,Phase 2,phosphodiesterase inhibitor,PDE4A|PDE4B|PDE4C|PDE4D,,
picolamine,HDOUGSFASVGDCS-UHFFFAOYSA-N,Preclinical,,,,
picolinic-acid,SIOXPEMLGUPBBT-UHFFFAOYSA-N,Phase 2,chelating agent,,,
piconol,SHNUBALDGXWUJI-UHFFFAOYSA-N,Preclinical,,,,
picotamide,KYWCWBXGRWWINE-UHFFFAOYSA-N,Launched,thromboxane receptor antagonist|thromboxane synthase inhibitor,TBXA2R,hematology,thrombosis
picrotin,RYEFFICCPKWYML-XSVQNFTRSA-N,Phase 2,GABA receptor antagonist,GLRA1|GLRA2|GLRA3|GLRB,,
picrotoxinin,PIMZUZSSNYHVCU-KBLUICEQSA-N,Preclinical,GABA receptor antagonist,GLRA1|GLRA2|GLRA3|GLRB|HTR3A|HTR3B,,
pidolic-acid,ODHCTXKNWHHXJC-VKHMYHEASA-N,Launched,,ADAM28|AMY1A|AMY2A|AMY2B|ANG|CCL8|HCRT|IGLC1|KRTAP5-2|TFF2|VEGFA,dermatology,xerosis cutis
pidotimod,UUTKICFRNVKFRG-WDSKDSINSA-N,Launched,interferon receptor agonist|interleukin receptor agonist,,infectious disease,immune adjuvant
pifithrin-alpha,OLTZHXYLLRJLST-UHFFFAOYSA-N,Preclinical,TP53 inhibitor,TP53,,
pifithrin-cyclic,IMUKUMUNZJILCG-UHFFFAOYSA-N,Preclinical,TP53 inhibitor,TP53,,
pifithrin-mu,ZZUZYEMRHCMVTB-UHFFFAOYSA-N,Preclinical,HSP inhibitor,HSPA1A|TP53,,
PIK-293,KQDBVHKNIYROHU-UHFFFAOYSA-N,Preclinical,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,,
PIK-294,WFSLJOPRIJSOJR-UHFFFAOYSA-N,Preclinical,PI3K inhibitor,PIK3CB|PIK3CD|PIK3CG,,
PIK-75,QTHCAAFKVUWAFI-DJKKODMXSA-N,Preclinical,DNA protein kinase inhibitor|PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC,,
PIK-93,JFVNFXCESCXMBC-UHFFFAOYSA-N,Preclinical,PI3K inhibitor,PI4KB|PIK3C3|PIK3CG,,
pikamilone,NAJVRARAUNYNDX-UHFFFAOYSA-N,Phase 1,,,,
piketoprofen,ASFKKFRSMGBFRO-MRXNPFEDSA-N,Launched,cyclooxygenase inhibitor,,neurology/psychiatry,pain relief
pilaralisib,QINPEPAQOBZPOF-UHFFFAOYSA-N,Phase 2,PI3K inhibitor,,,
pilocarpine,QCHFTSOMWOSFHM-WPRPVWTQSA-N,Launched,acetylcholine receptor agonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,ophthalmology|cardiology,glaucoma|hypertension
pilsicainide,BCQTVJKBTWGHCX-UHFFFAOYSA-N,Launched,sodium channel blocker,SCN5A,cardiology,cardiac arrythmia
PIM-1-Inhibitor-2,AQVFETGXIRKVAQ-UHFFFAOYSA-N,Preclinical,Pim kinase inhibitor,PIM1,,
PIM-447,VRQXRVAKPDCRCI-ZNMIVQPWSA-N,Phase 1,Pim kinase inhibitor,,,
pimavanserin,RKEWSXXUOLRFBX-UHFFFAOYSA-N,Launched,serotonin receptor inverse agonist,DRD2|HTR2A,neurology/psychiatry,Parkinson's Disease
pimecrolimus,KASDHRXLYQOAKZ-YFMQXNBHSA-N,Launched,calcineurin inhibitor,,dermatology,eczema
pimethixene,NZLVRVYNQYGMAB-UHFFFAOYSA-N,Launched,antihistamine,,neurology/psychiatry|allergy,attention-deficit/hyperactivity disorder (ADHD)|anxiety|sleep cycle support|allergic rhinitis
pimobendan,GLBJJMFZWDBELO-LLVKDONJSA-N,Launched,calcium sensitizer|phosphodiesterase inhibitor,PDE3A,cardiology,congestive heart failure
pimodivir,JGPXDNKSIXAZEQ-SBBZOCNPSA-N,Phase 3,antiviral,,,
pimonidazole,WVWOOAYQYLJEFD-JTQLQIEISA-N,Phase 3,,,,
pimozide,YVUQSNJEYSNKRX-UHFFFAOYSA-N,Launched,dopamine receptor antagonist,CACNA1I|CALM1|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR2A|KCNA10|KCNH2,neurology/psychiatry,Tourette's disorder
pinacidil,IVVNZDGDKPTYHK-SNVBAGLBSA-N,Launched,ATP channel activator|potassium channel activator,ABCC8|ABCC9,cardiology,hypertension
pinanediol,MOILFCKRQFQVFS-OORONAJNSA-N,Preclinical,,,,
pinaverium,DDHUTBKXLWCZCO-CEMLEFRQSA-N,Launched,T-type calcium channel blocker,CACNA1C,gastroenterology,irritable bowel syndrome
pincainide,RJOUHGWLHPOQSA-UHFFFAOYSA-N,Phase 1,antiarrhythmic,,,
pindolol,JZQKKSLKJUAGIC-LLVKDONJSA-N,Launched,adrenergic receptor antagonist,ADRB1|ADRB2|HTR1A|HTR2A|HTR2B,cardiology,hypertension
pindolol-(-),JZQKKSLKJUAGIC-NSHDSACASA-N,Phase 2,adrenergic receptor antagonist|serotonin receptor antagonist,HTR1A,,
pinitol,DSCFFEYYQKSRSV-KLJZZCKASA-N,Phase 2,gamma secretase inhibitor,,,
pinocembrin,URFCJEUYXNAHFI-ZDUSSCGKSA-N,Phase 2,cytochrome P450 inhibitor,CYP1B1,,
pioglitazone,HYAFETHFCAUJAY-QGZVFWFLSA-N,Launched,insulin sensitizer|PPAR receptor agonist,PPARG|TRPM3,endocrinology,diabetes mellitus
pipamperone,AXKPFOAXAHJUAG-UHFFFAOYSA-N,Launched,dopamine receptor antagonist,DRD2|HRH1|HTR1A|HTR1B|HTR1D|HTR2A,neurology/psychiatry,schizophrenia
pipecuronium,OWWLUIWOFHMHOQ-XGHATYIMSA-N,Launched,neuromuscular blocker,CHRM2|CHRM3|CHRNA2,neurology/psychiatry,anesthetic
pipemidic-acid,JOHZPMXAZQZXHR-UHFFFAOYSA-N,Launched,topoisomerase inhibitor,,infectious disease,gram-negative bacterial infections
pipenzolate,WPUKUEMZZRVAKZ-REWPJTCUSA-N,Launched,cholinergic receptor antagonist,CHRM1,neurology/psychiatry,spasms
piperacetazine,BTFMCMVEUCGQDX-UHFFFAOYSA-N,Launched,dopamine receptor antagonist,,neurology/psychiatry,schizophrenia
piperacillin,IVBHGBMCVLDMKU-GXNBUGAJSA-N,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,intra-abdominal infections|skin infections|pelvic inflammatory disease|pneumonia
piperaquine-phosphate,UCRHFBCYFMIWHC-UHFFFAOYSA-N,Launched,antimalarial agent,,infectious disease,malaria
piperazine,GLUUGHFHXGJENI-UHFFFAOYSA-N,Launched,benzodiazepine receptor agonist,GABRB3,infectious disease,gastrointestinal roundworms
piperazinedione,BXRNXXXXHLBUKK-UHFFFAOYSA-N,Phase 2,DNA synthesis inhibitor,,,
piperidolate,KTHVBAZBLKXIHZ-IBGZPJMESA-N,Launched,acetylcholine receptor antagonist,CHRM1,neurology/psychiatry,spasms
piperine,MXXWOMGUGJBKIW-YPCIICBESA-N,Phase 1,monoamine oxidase inhibitor,MAOA|MAOB|TRPV1,,
piperonyl-butoxide,FIPWRIJSWJWJAI-UHFFFAOYSA-N,Launched,cytochrome P450 inhibitor,,infectious disease,lice
pipobroman,NJBFOOCLYDNZJN-UHFFFAOYSA-N,Launched,DNA alkylating agent,,hematology,polycythemia vera|thrombocythemia
pipofezine,SDYYIRPAZHJOLM-UHFFFAOYSA-N,Preclinical,selective serotonin reuptake inhibitor (SSRI),,,
pipotiazine,JOMHSQGEWSNUKU-UHFFFAOYSA-N,Launched,dopamine receptor antagonist,DRD1|DRD2|HTR1A|HTR2A,neurology/psychiatry,schizophrenia
pipotiazine-palmitate,KTOYYUONFQWSMW-UHFFFAOYSA-N,Launched,dopamine receptor antagonist|serotonin receptor antagonist,DRD1|DRD2|HTR1A|HTR2A,neurology/psychiatry,schizophrenia
piracetam,GMZVRMREEHBGGF-UHFFFAOYSA-N,Launched,acetylcholine receptor agonist,GRIA1|GRIA2|GRIA3|GRIA4,neurology/psychiatry,senile dementia
